municipalityId,countyId,id,validFrom,temp
1149,11,SN47230,2013-10-29/2021-03-01,3.3
3454,34,SN23670,2018-01-23/2021-03-01,3.95021692
4649,46,SN59450,1923-01-01/2021-03-01,7.492594859
3411,34,SN12590,2011-01-01/2021-03-01,5.650675676
3048,30,SN26640,2016-04-19/2021-03-01,5.908809135
5027,50,SN67650,2018-11-27/2021-03-01,3.41188251
301,3,SN18269,2000-01-01/2021-03-01,6.605268595
4648,46,SN57790,2014-10-31/2021-03-01,3.365268166
1535,15,SN61065,2016-04-12/2021-03-01,8.209681698
3804,38,SN27600,1936-01-01/2021-03-01,3.3
301,3,SN18700,1931-01-01/2021-03-01,6.253733433
1871,18,SN87110,1958-01-01/2021-03-01,4.061058245
4222,42,SN40905,2013-07-24/2021-03-01,0.908333333
3804,38,SN27295,2012-01-01/2021-03-01,5.431086657
4221,42,SN40250,1872-01-01/2021-03-01,5.28172384
1111,11,SN43220,2013-06-10/2021-03-01,7.725527312
3024,30,SN19660,2011-03-14/2021-03-01,3.70765206
301,3,SN18260,2013-05-30/2021-03-01,3.3
4618,46,SN49240,2011-01-01/2021-03-01,5.903264727
4638,46,SN52990,1972-01-01/2021-03-01,3.3
3414,34,SN5350,1895-07-01/2021-03-01,5.488429752
2400,24,SN76963,2014-01-01/2021-03-01,7.635753425
5428,54,SN92170,2003-12-04/2021-03-01,3.3
1506,15,SN62240,2014-09-11/2021-03-01,7.039020173
1837,18,SN80740,1995-07-01/2021-03-01,5.225962441
3804,38,SN27564,1998-12-10/2021-03-01,3.3
3011,30,SN1070,2018-05-31/2021-03-01,8.794578313
5053,50,SN71230,2014-09-11/2021-03-01,2.937281796
3802,38,SN26990,1995-01-01/2021-03-01,6.419478509
3430,34,SN810,1991-06-01/2021-03-01,3.3
4644,46,SN55520,2014-12-01/2021-03-01,5.086683938
1525,15,SN60670,2014-09-11/2021-03-01,4.41702544
5021,50,SN63595,2014-09-11/2021-03-01,4.334393404
5422,54,SN90250,2004-12-24/2021-03-01,1.873492537
2600,26,SN76954,2010-11-07/2021-03-01,8.681618656
2600,26,SN76927,1988-01-01/2021-03-01,8.679773692
3815,38,SN34580,2017-04-26/2021-03-01,3.3
1812,18,SN76245,2016-11-14/2021-03-01,6.488988764
3005,30,SN26864,2012-10-14/2021-03-01,3.3
4644,46,SN55260,2018-11-28/2021-03-01,0.019594595
3025,30,SN19830,2016-11-14/2021-03-01,6.727134876
1122,11,SN44485,2013-06-11/2021-03-01,7.443045564
2600,26,SN76936,2001-01-01/2021-03-01,8.746482759
2300,23,SN76999,2014-10-29/2021-03-01,7.771965318
3005,30,SN26900,2004-09-20/2021-03-01,6.693718677
3024,30,SN19525,2016-01-27/2021-03-01,3.3
4601,46,SN50505,2011-01-01/2021-03-01,7.001877515
1832,18,SN79215,2019-01-24/2021-03-01,4.845310245
3432,34,SN61630,2010-02-22/2021-03-01,2.453218991
3808,38,SN31700,2013-12-19/2021-03-01,6.051494093
1875,18,SN83710,2007-07-02/2021-03-01,4.906737338
5426,54,SN91551,2018-04-04/2021-03-01,4.723490566
4626,46,SN50514,2014-12-01/2021-03-01,7.787038934
5046,50,SN78910,2014-09-11/2021-03-01,2.807813411
1804,18,SN82310,1996-01-01/2021-03-01,5.708631153
4618,46,SN46432,2014-03-05/2021-03-01,-0.498624214
3423,34,SN8140,2001-10-27/2021-03-01,3.171083645
3801,38,SN27160,2015-04-22/2021-03-01,7.725191939
3433,34,SN15730,1998-11-01/2021-03-01,2.398685209
1865,18,SN85450,1972-06-01/2021-03-01,5.657737715
1856,18,SN85890,1986-07-01/2021-03-01,6.110645257
1146,11,SN47060,2013-01-01/2021-03-01,8.490665647
2100,21,SN99877,2019-08-21/2021-03-01,3.3
4204,42,SN39030,2013-05-04/2021-03-01,3.3
3453,34,SN23500,1924-01-01/2021-03-01,2.106654279
4601,46,SN50810,2002-12-01/2021-03-01,7.641387195
3028,30,SN4040,1998-05-15/2021-03-01,3.3
1124,11,SN44530,2017-09-05/2021-03-01,3.3
5047,50,SN72710,1991-01-02/2021-03-01,4.970114171
4651,46,SN58705,2011-01-01/2021-03-01,-1.923596177
4227,42,SN42520,1895-07-01/2021-03-01,3.3
5404,54,SN98630,2013-07-22/2021-03-01,2.224868957
1515,15,SN59800,1955-06-01/2021-03-01,7.5510375
4623,46,SN50245,2015-11-03/2021-03-01,7.728443878
4601,46,SN52452,2013-10-07/2021-03-01,8.746428571
3451,34,SN23410,1987-01-01/2021-03-01,1.808598726
1577,15,SN59665,2019-09-19/2021-03-01,3.3
4622,46,SN50110,2005-01-01/2021-03-01,8.651196172
3405,34,SN12680,1982-12-01/2021-03-01,4.127809592
2100,21,SN99841,1998-09-12/2021-03-01,3.3
5444,54,SN99500,1968-01-01/2021-03-01,3.3
1560,15,SN64510,1992-01-01/2021-03-01,7.107212345
3019,30,SN17650,2012-01-01/2021-03-01,6.014937013
4228,42,SN42810,1972-01-01/2021-03-01,6.295586072
3807,38,SN30330,2005-01-01/2021-03-01,7.258979592
4628,46,SN51010,2012-06-14/2021-03-01,8.041213455
3003,30,SN3370,2005-01-01/2021-03-01,7.272760819
5442,54,SN99090,2018-01-23/2021-03-01,2.499608355
1108,11,SN44730,1974-06-14/2021-03-01,8.533648011
3054,30,SN4590,2011-01-01/2021-03-01,3.11040146
5054,50,SN71385,2017-07-06/2021-03-01,4.879003268
4621,46,SN51800,1999-06-01/2021-03-01,3.522104733
3819,38,SN31900,1895-07-01/2021-03-01,3.3
4647,46,SN57380,2014-12-01/2021-03-01,6.442677165
3020,30,SN17895,2011-07-06/2021-03-01,5.179417353
4646,46,SN56420,1972-01-01/2021-03-01,7.809405367
1837,18,SN80707,2014-09-08/2021-03-01,0.147375215
1520,15,SN59695,2014-12-04/2021-03-01,3.673453269
5424,54,SN91150,2010-11-18/2021-03-01,3.3
301,3,SN18317,2017-06-01/2021-03-01,3.3
5006,50,SN70820,1962-07-01/2021-03-01,3.3
3016,30,SN3280,1982-01-01/2021-03-01,3.3
5426,54,SN91500,2010-01-01/2021-03-01,-0.226356822
3437,34,SN16271,2013-09-26/2021-03-01,1.125082995
1103,11,SN44640,1882-01-01/2021-03-01,7.746909265
3807,38,SN30321,2001-01-01/2021-03-01,3.3
