plot_id,tree_id,tree_sp,dbh,height,diameter_class,tree_Factor,SI_spp,SI_m,n_tree,species,Period,coord_x,coord_y,year,volsum,vol_spruce,vol_pine,vol_birch,vol_others,vol_ROS,vol_warm,management
B07129,61135179,3,50.0,41.78976582884769,5,40.0,1,11,40.0,spruce,0,8.34044009405148,14.406489868843162,2019,0.1312864213231457,0.1312864213231457,0.0,0.0,0.0,0.0,0.0,none
B07129,61135179,3,64.0,56,5,40.0,1,11,38.71960938356546,spruce,1,8.34044009405148,14.406489868843162,2024,0.4247473002864617,0.4247473002864617,0,0,0,0,0,none
B07129,61135179,3,78.0,68,5,40.0,1,11,37.44202748378341,spruce,2,8.34044009405148,14.406489868843162,2029,0.7008780433373183,0.7008780433373183,0,0,0,0,0,none
B07129,61135179,3,93.0,79,5,40.0,1,11,36.19096157905054,spruce,3,8.34044009405148,14.406489868843162,2034,1.076309082711021,1.076309082711021,0,0,0,0,0,none
B07129,61135179,3,108.0,89,10,40.0,1,11,0.0,spruce,4,8.34044009405148,14.406489868843162,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clear cut
B07129,30172363,3,50.002,41.80666393689659,5,40.0,1,11,1426.6666666666665,spruce,1,19.15779060301004,10.663305699460341,2024,7.942372819531211,7.942372819531211,0,0,0,0,0,none
B07129,30172363,3,62.002,48,5,40.0,1,11,1367.8886761143317,spruce,2,19.15779060301004,10.663305699460341,2029,12.359883341414879,12.359883341414879,0,0,0,0,0,none
B07129,30172363,3,76.00200000000001,57,5,40.0,1,11,1309.7335018669348,spruce,3,19.15779060301004,10.663305699460341,2034,19.72291671442064,19.72291671442064,0,0,0,0,0,none
B07129,30172363,3,90.00200000000001,65,5,40.0,1,11,0.0,spruce,4,19.15779060301004,10.663305699460341,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clear cut
B07129,97933748,3,50.003,41.763404164479525,5,40.0,1,11,1426.6666666666665,spruce,1,13.730018553631673,16.692513437947458,2024,7.936137523833795,7.936137523833795,0,0,0,0,0,none
B07129,97933748,3,61.003,48,5,40.0,1,11,1365.5398216417357,spruce,2,13.730018553631673,16.692513437947458,2029,11.999631832041596,11.999631832041596,0,0,0,0,0,none
B07129,97933748,3,72.003,54,5,40.0,1,11,1303.356507028918,spruce,3,13.730018553631673,16.692513437947458,2034,16.975655148740543,16.975655148740543,0,0,0,0,0,none
B07129,97933748,3,83.003,61,5,40.0,1,11,0.0,spruce,4,13.730018553631673,16.692513437947458,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clear cut
B07129,77152197,3,50.004,41.79867010422831,5,40.0,1,11,1426.6666666666665,spruce,1,2.0645201315528405,8.957870523518103,2024,7.9417116205488085,7.9417116205488085,0,0,0,0,0,none
B07129,77152197,3,61.004,48,5,40.0,1,11,1363.3609578611308,spruce,2,2.0645201315528405,8.957870523518103,2029,11.980822401650885,11.980822401650885,0,0,0,0,0,none
B07129,77152197,3,71.00399999999999,54,5,40.0,1,11,1298.8314096394483,spruce,3,2.0645201315528405,8.957870523518103,2034,16.51411563939596,16.51411563939596,0,0,0,0,0,none
B07129,77152197,3,80.00399999999999,60,5,40.0,1,11,1230.7322443037804,spruce,4,2.0645201315528405,8.957870523518103,2039,21.294348517671157,21.294348517671157,0,0,0,0,0,clear cut
B07129,77152197,3,95.00399999999999,68,5,40.0,1,11,1189.161895696942,spruce,5,2.0645201315528405,8.957870523518103,2044,31.433394649302674,31.433394649302674,0,0,0,0,0,none
B07129,77152197,3,110.00399999999999,75,10,40.0,1,11,1147.6027863734846,spruce,6,2.0645201315528405,8.957870523518103,2049,46.01250942372907,46.01250942372907,0,0,0,0,0,none
B07129,77152197,3,125.00399999999999,82,10,40.0,1,11,1106.2442767588252,spruce,7,2.0645201315528405,8.957870523518103,2054,62.40971497938471,62.40971497938471,0,0,0,0,0,none
B07129,77152197,3,140.004,88,10,40.0,1,11,1061.6605505684695,spruce,8,2.0645201315528405,8.957870523518103,2059,76.82030341961047,76.82030341961047,0,0,0,0,0,none
B07129,77152197,3,155.004,94,15,40.0,1,11,1020.6670269193127,spruce,9,2.0645201315528405,8.957870523518103,2064,92.19569364354594,92.19569364354594,0,0,0,0,0,none
B07129,77152197,3,170.004,100,15,40.0,1,11,983.6588163619906,spruce,10,2.0645201315528405,8.957870523518103,2069,109.35401590260895,109.35401590260895,0,0,0,0,0,none
B07129,77152197,3,186.004,105,15,40.0,1,11,950.7207852790021,spruce,11,2.0645201315528405,8.957870523518103,2074,128.1667130531533,128.1667130531533,0,0,0,0,0,none
B07129,77152197,3,202.004,110,20,40.0,1,11,921.5803680978817,spruce,12,2.0645201315528405,8.957870523518103,2079,148.80449133805175,148.80449133805175,0,0,0,0,0,none
B07129,77152197,3,218.004,114,20,40.0,1,11,895.6289591304993,spruce,13,2.0645201315528405,8.957870523518103,2084,169.60992490349838,169.60992490349838,0,0,0,0,0,none
B07129,77152197,3,234.004,118,20,40.0,1,11,872.0708653955445,spruce,14,2.0645201315528405,8.957870523518103,2089,191.92192461413444,191.92192461413444,0,0,0,0,0,none
B07129,77152197,3,249.004,122,20,40.0,1,11,850.232650366902,spruce,15,2.0645201315528405,8.957870523518103,2094,214.36557048283817,214.36557048283817,0,0,0,0,0,none
B07129,77152197,3,264.004,126,25,40.0,1,11,829.5893818776098,spruce,16,2.0645201315528405,8.957870523518103,2099,238.0795697560302,238.0795697560302,0,0,0,0,0,none
B07129,77152197,3,279.004,130,25,40.0,1,11,809.5711921363153,spruce,17,2.0645201315528405,8.957870523518103,2104,262.920441773593,262.920441773593,0,0,0,0,0,none
B07129,77152197,3,294.004,134,25,40.0,1,11,789.7217891226886,spruce,18,2.0645201315528405,8.957870523518103,2109,288.705169929593,288.705169929593,0,0,0,0,0,none
B07129,77152197,3,309.004,138,30,40.0,1,11,769.6364442067105,spruce,19,2.0645201315528405,8.957870523518103,2114,315.1941831121038,315.1941831121038,0,0,0,0,0,none
B07129,77152197,3,323.004,141,30,40.0,1,11,748.9081132428912,spruce,20,2.0645201315528405,8.957870523518103,2119,337.414012503075,337.414012503075,0,0,0,0,0,none
B07129,77152197,3,337.004,144,30,40.0,1,11,727.3377446281825,spruce,21,2.0645201315528405,8.957870523518103,2124,359.3037447322196,359.3037447322196,0,0,0,0,0,none
B07129,77152197,3,350.004,147,35,40.0,1,11,704.6279985644171,spruce,22,2.0645201315528405,8.957870523518103,2129,378.8108101522962,378.8108101522962,0,0,0,0,0,none
B07129,77152197,3,363.004,150,35,40.0,1,11,680.7552361757243,spruce,23,2.0645201315528405,8.957870523518103,2134,397.26914766450636,397.26914766450636,0,0,0,0,0,none
B07129,77152197,3,375.004,153,35,40.0,1,11,655.5341199908104,spruce,24,2.0645201315528405,8.957870523518103,2139,412.5722308648186,412.5722308648186,0,0,0,0,0,none
B07129,77152197,3,387.004,156,35,40.0,1,11,629.1260608916009,spruce,25,2.0645201315528405,8.957870523518103,2144,426.1815176350411,426.1815176350411,0,0,0,0,0,none
B07129,77152197,3,398.004,159,35,40.0,1,11,601.5059185144855,spruce,26,2.0645201315528405,8.957870523518103,2149,436.0680660629995,436.0680660629995,0,0,0,0,0,none
B07129,77152197,3,409.004,162,40,40.0,1,11,573.1120036573041,spruce,27,2.0645201315528405,8.957870523518103,2154,443.9509015727187,443.9509015727187,0,0,0,0,0,none
B07129,77152197,3,419.004,165,40,40.0,1,11,76.56557131158246,spruce,28,2.0645201315528405,8.957870523518103,2159,63.04726406827159,63.04726406827159,0,0,0,0,0,clear cut
B07129,77152197,3,431.004,168,40,40.0,1,11,76.11870123498524,spruce,29,2.0645201315528405,8.957870523518103,2164,67.02591300585132,67.02591300585132,0,0,0,0,0,none
B07129,77152197,3,442.004,170,40,40.0,1,11,75.37402043420941,spruce,30,2.0645201315528405,8.957870523518103,2169,70.07776392322057,70.07776392322057,0,0,0,0,0,none
B07129,77152197,3,452.004,172,45,40.0,1,11,74.4232655578507,spruce,31,2.0645201315528405,8.957870523518103,2174,72.72972198918612,72.72972198918612,0,0,0,0,0,none
B07129,77152197,3,461.004,174,45,40.0,1,11,73.08586733296548,spruce,32,2.0645201315528405,8.957870523518103,2179,74.75401793545667,74.75401793545667,0,0,0,0,0,none
B07129,77152197,3,470.004,176,45,40.0,1,11,71.43751745374959,spruce,33,2.0645201315528405,8.957870523518103,2184,76.41992515387359,76.41992515387359,0,0,0,0,0,none
B07129,77152197,3,478.004,178,45,40.0,1,11,69.46364394541446,spruce,34,2.0645201315528405,8.957870523518103,2189,77.41139337770346,77.41139337770346,0,0,0,0,0,none
B07129,77152197,3,485.004,180,45,40.0,1,11,67.18184118543941,spruce,35,2.0645201315528405,8.957870523518103,2194,77.70210350320139,77.70210350320139,0,0,0,0,0,none
B07129,77152197,3,492.004,182,45,40.0,1,11,64.64479657356846,spruce,36,2.0645201315528405,8.957870523518103,2199,77.5616858346189,77.5616858346189,0,0,0,0,0,none
B07129,77152197,3,498.004,184,45,40.0,1,11,61.89367488445499,spruce,37,2.0645201315528405,8.957870523518103,2204,76.76245019812417,76.76245019812417,0,0,0,0,0,none
B07129,77152197,3,504.004,186,50,40.0,1,11,58.99377641060135,spruce,38,2.0645201315528405,8.957870523518103,2209,75.60336952494137,75.60336952494137,0,0,0,0,0,none
